step,crossentropy,val crossentropy,acc micro,val acc micro,allgood,val allgood
1,1.7492831548055012,1.728232979774475,0.0788399417384141,0.0981808617001488,0.0,0.0
2,1.7214831965310233,1.711088240146637,0.10377948786936649,0.12637474423363096,0.0,0.0
3,1.7089790616716658,1.7035115957260132,0.11946660255899236,0.12573968796502974,0.0,0.0
4,1.7020597287586756,1.6993009249369304,0.12289437015040391,0.14356544131324403,0.0,0.0
5,1.697805126508077,1.6972602009773254,0.14460237464126274,0.1783051990327381,0.0,0.0
6,1.6951683135259719,1.6958034038543701,0.17442033209768282,0.209320068359375,2.3251488095238097e-06,8.138020833333333e-06
7,1.6933622502145314,1.6949305534362793,0.21366639429209183,0.25453781854538693,2.7901785714285724e-05,4.0690104166666664e-05
8,1.692031210377103,1.6943425138791401,0.25722378062553136,0.29232671828497026,0.000146484375,0.0003173828125
9,1.6910725661686488,1.6941889723141987,0.2993154512781675,0.3357613699776785,0.0002999441964285714,0.00042317708333333335
10,1.6903285668009804,1.6947350303332012,0.35291220736341405,0.3866292317708333,0.0007765997023809522,0.0008463541666666667
11,1.689429833775475,1.693825125694275,0.37361985809948994,0.3822884695870536,0.0009149460565476189,0.0011149088541666666
12,1.6888917202041263,1.694259524345398,0.37280136419802307,0.4018627348400297,0.0008893694196428571,0.0009195963541666665
13,1.6885559502102079,1.6939693291982014,0.38669387921184106,0.40418701171875004,0.0010439918154761907,0.001171875
14,1.688269473257519,1.6939448316891987,0.40357022447650936,0.4265064057849702,0.0012067522321428572,0.0013346354166666665
15,1.6880349970999218,1.6938006679217021,0.41673069129995755,0.42851882207961306,0.0015718005952380955,0.0016031901041666668
16,1.6877808258647011,1.6938429673512776,0.4265538222124788,0.44902925037202385,0.001883370535714286,0.002091471354166666
17,1.6876434825715565,1.6942577362060547,0.44615902024872445,0.46043410528273815,0.0021123976934523813,0.0026774088541666667
18,1.687416828814007,1.6939578652381897,0.4592536770567601,0.4831403459821429,0.002390252976190476,0.0037434895833333335
19,1.6872411029679435,1.6943684220314026,0.47476104943930686,0.4966927664620535,0.0028750465029761902,0.0033284505208333337
20,1.687057463895707,1.694702386856079,0.49276397082270396,0.5117533365885417,0.0030238560267857144,0.004248046874999999
