step,crossentropy,val crossentropy,acc micro,val acc micro,allgood,val allgood
1,1.7308715269679116,1.7098636428515117,0.5595710598692604,0.6518272763206845,0.0,0.0
2,1.7063300666354952,1.7002936005592346,0.6934821096407313,0.7244951520647321,0.0,8.138020833333333e-06
3,1.6981872575623649,1.6966074506441753,0.7436923280054208,0.7619306291852679,2.5576636904761905e-05,0.00016276041666666666
4,1.6943608976545788,1.6948387622833252,0.7723352964232569,0.7853521437872023,0.0002732049851190477,0.0007731119791666666
5,1.692272274267106,1.694101889928182,0.7927112812898595,0.8084949311755952,0.0015648251488095237,0.004427083333333334
6,1.690981850737617,1.6935148636500041,0.8144649583466199,0.8252891903831845,0.006039574032738095,0.0147705078125
7,1.689999086516244,1.692926009496053,0.8317104625053147,0.8452322823660715,0.017194475446428572,0.034529622395833334
8,1.6892599775677635,1.692934771378835,0.8455027469972366,0.8525402250744049,0.03560732886904762,0.059521484374999996
9,1.6886269506954013,1.6928017735481262,0.8578939632493621,0.8641447521391368,0.05862165178571428,0.08865559895833332
10,1.688122190180279,1.692149003346761,0.8700590587797619,0.880580066499256,0.09107491629464287,0.14558919270833334
11,1.6874844375110807,1.6925333539644878,0.8762792885708971,0.8800842285156248,0.10760091145833335,0.15651041666666665
12,1.687166997364589,1.6925260821978252,0.8777663042756164,0.8835129510788691,0.1245303199404762,0.16222330729166665
13,1.6868870797611417,1.6930303970972698,0.8809591072757227,0.8828110467819941,0.13430989583333336,0.17207845052083334
14,1.6867184582210721,1.6924748420715332,0.8848121694967048,0.8862618582589286,0.15474446614583334,0.18440755208333334
15,1.6865461213248116,1.693274994691213,0.8906512409651361,0.896743629092262,0.16834542410714293,0.20599772135416664
16,1.686378002166748,1.6930621067682903,0.8956494804953232,0.9003842308407739,0.18797665550595233,0.23444824218750002
17,1.6862099426133292,1.6935201287269592,0.8982185623272747,0.9010236467633929,0.20195777529761902,0.21959635416666667
18,1.686076283454895,1.6933431029319763,0.9014544221008717,0.9112749372209822,0.21283482142857144,0.28726399739583336
19,1.6859071737244016,1.6935615142186482,0.9059908704692813,0.9103024437313988,0.2386881510416667,0.3101888020833333
20,1.6858163532756625,1.693545679251353,0.9077620940954505,0.9119222005208333,0.24292224702380943,0.30401204427083334
21,1.6854979424249559,1.693622887134552,0.9100025410554845,0.9146597726004465,0.24600655691964282,0.2958577473958333
22,1.6853784691719782,1.6938169995943706,0.9091454330755744,0.9119396391369047,0.24258626302083333,0.2917073567708333
23,1.6852848416283017,1.693926990032196,0.9099241088036778,0.9116254534040179,0.24538225446428563,0.29946289062500003
24,1.6852122318176996,1.6940372784932454,0.910405123963648,0.9132312593005953,0.24814336867559528,0.29925944010416666
25,1.685133627482823,1.6944207946459453,0.9117155944409012,0.9123488653273809,0.25494907924107146,0.29733072916666664
26,1.6850740994725908,1.6940537095069885,0.9125379082296984,0.9138296944754464,0.25527111235119043,0.31595865885416663
27,1.6850158401897974,1.6945579449335735,0.9132579985119048,0.9127624511718749,0.26043178013392854,0.30415039062500004
28,1.6849821578888666,1.6948479215304058,0.9140438572890094,0.9134111676897322,0.2654041108630952,0.3151936848958333
29,1.6848981976509094,1.694819708665212,0.9151842182185373,0.9152149018787202,0.26889183407738093,0.31448567708333336
30,1.684802526519412,1.6947669982910156,0.9155697361952593,0.917111060732887,0.2667027064732143,0.3175048828125
31,1.6847843329111736,1.6949831048647563,0.9170812490035077,0.9181254069010417,0.2763323102678572,0.33034667968750003
32,1.684726561818804,1.6955629388491313,0.9178900686251065,0.918025134858631,0.28013044084821415,0.32438151041666663
33,1.684641415164584,1.6956317226092021,0.9180201939174107,0.9190906343005952,0.2775158110119048,0.3300862630208334
34,1.6846157000178383,1.6954150001207988,0.9195583628959395,0.9223019554501487,0.2878522600446428,0.33876139322916665
35,1.6845543412935167,1.6957112550735474,0.9205776915258292,0.9215265183221725,0.2906447637648809,0.33859049479166664
36,1.6845111761774336,1.6963284015655518,0.9211153406675172,0.9206464494977676,0.29394298735119045,0.33620605468750003
37,1.6844281071708316,1.69602632522583,0.9221113347682822,0.9234142485119047,0.2946905226934524,0.3409016927083334
38,1.6844188400677271,1.6963115334510803,0.9230430135921556,0.9244532993861608,0.2967575799851191,0.3438395182291667
39,1.684382350671859,1.6962828437487285,0.9239881865832269,0.9251732235863095,0.3039143880208333,0.3416422526041667
40,1.6842986402057467,1.6962526241938274,0.9246021919509989,0.9261605398995535,0.3043968563988096,0.3469645182291667
41,1.6842904601778304,1.6967497666676838,0.9255621462452168,0.9273138137090774,0.308720470610119,0.3477294921875
42,1.6842401169595265,1.696318527062734,0.9266813317123722,0.9278340657552083,0.3104166666666667,0.3511149088541667
43,1.6842277646064758,1.6971275210380554,0.9274867051312712,0.9268740699404762,0.3083937872023809,0.3444010416666667
44,1.684169542221796,1.6965877413749695,0.9285737952407525,0.9294384184337798,0.3137625558035715,0.3554931640624999
45,1.6841920557476224,1.6964115897814434,0.9303368393255738,0.9325857979910714,0.3251162574404762,0.3620930989583333
46,1.6841347160793485,1.6975375811258953,0.9305183254942601,0.9319443475632441,0.3244838169642857,0.35658365885416665
47,1.6840833595820837,1.6968754529953003,0.9322996801259568,0.9331708635602678,0.33089425223214297,0.3628173828124999
48,1.6840550785972959,1.6973300576210022,0.9326744442894347,0.9312412806919643,0.33339727492559523,0.36131184895833335
49,1.6840194634028844,1.6978007356325786,0.9327794911910078,0.9340643019903273,0.33224632626488093,0.36298014322916666
50,1.683947429770515,1.6975568930308025,0.9333747292862459,0.9362447102864584,0.3340169270833333,0.3661946614583333
51,1.6839481734094166,1.697179913520813,0.9348964146205356,0.9390360514322916,0.3382021949404762,0.36940917968750003
52,1.6839180560339064,1.697741727034251,0.9360561656303148,0.9340323311941964,0.3475737072172619,0.36929524739583336
53,1.6838914468174888,1.6980460286140442,0.9354778263844599,0.9355073474702381,0.34609607514880947,0.36773274739583334
54,1.6838227425302779,1.6981814503669739,0.9368901882041877,0.9402895972842261,0.3484642392113095,0.36972656249999997
55,1.6837593827928816,1.698226789633433,0.9382881008848852,0.9418326241629464,0.355317615327381,0.3726725260416666
56,1.6837665552184695,1.6988324920336406,0.9391221234587583,0.9418701171875,0.35681966145833327,0.37236328125
57,1.6837610517229353,1.69905952612559,0.9403775792543579,0.9434797014508929,0.36309291294642854,0.371337890625
58,1.6837467693147206,1.6981391310691833,0.9411806275244471,0.9465198335193453,0.3635846819196428,0.3778076171875
